date	bern	george	mort	seona	simon	tom
20170717		120	104			142	
20170717		116	122			130	
20170717		89	64			86	
20170724	151	148					
20170724	96	81					
20170724	87	112					
20170731	105	122				96	
20170731	109	193				97	
20170731	144	81				170	
20170814	91	96					
20170814	110	142					
20170814	117	135					
20170814	96	82					
20170821	129	117				97	
20170821	90	123				121	
20170821	116	158				104	
20170828	96	163				81	
20170828	96	92				108	
20170828	123	100				181	
20170904		119	101			138	
20170904		111	47			95	
20170904		113	104			112	
20171002	117		121			109	
20171002	81		116			129	
20171002	130		129			133	
